"College","CRN","Course","Title","Meeting Days","Begin Time","End Time","Campus","Credits","Pre-req?","","","","","","","","","",""
"College of Natural & Computational Sciences","5143","MATH1123","Statistics","T, R","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Natural & Computational Sciences","1168","MATH1130","Pre-Calculus I","M, W","2:00 PM","3:15 PM","Downtown","3","M","","","","","","","","","",""
"College of Natural & Computational Sciences","4872","MATH1130","Pre-Calculus I","T, R","10:30 AM","11:45 AM","Downtown","3","M","","","","","","","","","",""
"College of Natural & Computational Sciences","2399","MATH1140","Pre-Calculus II","T, R","2:00 PM","3:15 PM","Downtown","3","M","","","","","","","","","",""
"College of Natural & Computational Sciences","1657","MATH1150","Pre-Calculus I & II Accel","T, R","8:45 AM","10:00 AM","Downtown","3","M","","","","","","","","","",""
"College of Natural & Computational Sciences","1270","MATH2214","Calculus I","M, W","8:45 AM","10:00 AM","Downtown","3","M","","","","","","","","","",""
"College of Natural & Computational Sciences","2390","MATH2214","Calculus I","M, W","10:30 AM","11:45 AM","Downtown","3","M","","","","","","","","","",""
"College of Natural & Computational Sciences","1170","MATH2215","Calculus II","M, W","10:30 AM","11:45 AM","Downtown","3","M","","","","","","","","","",""
"College of Natural & Computational Sciences","2124","MATH2216","Calculus III","M, W","10:30 AM","11:45 AM","Downtown","3","M","","","","","","","","","",""
"College of Natural & Computational Sciences","6655","MATH3000","Proof Writing in Mathematics","M, W","12:15 PM","1:30 PM","Downtown","3","M","","","","","","","","","",""
"College of Natural & Computational Sciences","1885","MATH3305","Linear Algebra","T, R","10:30 AM","11:45 AM","Downtown","3","M","","","","","","","","","",""
"College of Natural & Computational Sciences","7570","MATH3470","Applied Statistics","M, W","3:45 PM","5:00 PM","Downtown","3","M","","","","","","","","","",""
"College of Natural & Computational Sciences","5358","MATH4470","Partial Differential Equations","T, R","2:00 PM","3:15 PM","Downtown","3","M","","","","","","","","","",""
"College of Liberal Arts","2519","MC1000","Mass Media Today","M, W","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","4367","MC2100","Mass Communication Research","W","10:30 AM","11:45 AM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","7768","MC3120","Writing for Digital Media","T","5:30 PM","6:45 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","2520","MC3730","New Media Strategies & Sales","T, R","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","5435","MC3900","News Writing for Kalamalama","","","","Downtown","1","W","","","","","","","","","",""
"College of Business","1675","MGMT2000","Principles of Management","T, R","8:45 AM","10:00 AM","Downtown","3","","","","","","","","","","",""
"College of Business","6457","MGMT3001","Mngng Dvrsity in the Workplace","T","5:30 PM","8:10 PM","Downtown","3","W","","","","","","","","","",""
"College of Business","7545","MGMT3020","Project Management","T, R","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Business","5832","MGMT3061","Business Law and Ethics","T, R","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Business","1061","MGMT3300","Intl Business Management","M, W","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Business","1063","MGMT3400","Human Resource Management","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Business","3007","MGMT4001","Business Strategy and Policy","T, R","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Business","2151","MIS2000","Information Tools for Business","T, R","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Business","2152","MIS3000","Foundations of Info Systems","M","5:30 PM","8:10 PM","Downtown","3","","","","","","","","","","",""
"College of Business","1065","MKTG3000","Principles of Marketing","M, W","3:45 PM","5:00 PM","Downtown","3","W","","","","","","","","","",""
"College of Business","3519","MKTG3100","Consumer Behavior","M, W","8:45 AM","10:00 AM","Downtown","3","M","","","","","","","","","",""
"College of Business","5190","MKTG3630","Retail Management","W","6:15 PM","8:55 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","2901","MULT1100","Foundations of Multimedia Prod","M, W","5:30 PM","6:45 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","2911","MULT2000","Global Cinema Studies","M","6:00 PM","8:40 PM","Downtown","3","W","","","","","","","","","",""
"College of Liberal Arts","4906","MULT2465","Motion Picture Production","T, R","10:30 AM","11:45 AM","Downtown","3","W","","","","","","","","","",""
"College of Liberal Arts","1681","MULT3510","Non-linear Audio-Visual Edit","T, R","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","2125","MULT3600","Creative Narrative Production","T","5:30 PM","8:10 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","6187","MULT3700","Audio Production","M, W","8:45 AM","10:00 AM","Downtown","3","W","","","","","","","","","",""
"College of Liberal Arts","2126","MULT3750","Motion Graphics & Compositing","T, R","3:45 PM","5:00 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","5436","MULT3780","Global Documentary","R","5:30 PM","8:10 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","5225","MUS1000","Intro Western Classical Music","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","7425","MUS1400","Music Fundamentals I","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Liberal Arts","2851","MUS1600","Beginning Hula Performance","W","12:15 PM","1:45 PM","Downtown","1","","","","","","","","","","",""
"College of Liberal Arts","7426","MUS4000","Topics In Music","TBD","","","Downtown","3","","","","","","","","","","",""
"College of Professional Studies","3634","PADM1000","Intro. to Leadership","T, R","12:15 PM","1:30 PM","Downtown","3","","","","","","","","","","",""
"College of Professional Studies","5189","PADM1000","Intro. to Leadership","T, R","2:00 PM","3:15 PM","Downtown","3","","","","","","","","","","",""
